Datum;Eröffnung;Hoch;Tief;Schluss;Währung;Volumen
17.05.2024;982,270;982,920;982,270;982,920;EUR;0
20.05.2024;981,240;982,090;978,670;982,090;EUR;0
21.05.2024;980,220;984,820;977,520;984,820;EUR;0
22.05.2024;987,320;987,320;983,440;983,440;EUR;0
23.05.2024;985,390;988,950;985,390;988,590;EUR;0
24.05.2024;986,500;987,650;986,360;987,650;EUR;0
27.05.2024;989,370;991,770;989,370;991,310;EUR;0
28.05.2024;993,390;995,540;989,580;989,580;EUR;0
29.05.2024;985,670;988,950;985,160;986,530;EUR;0
30.05.2024;984,850;985,440;983,430;985,440;EUR;0
31.05.2024;985,930;986,300;983,780;985,170;EUR;0
03.06.2024;990,420;998,630;988,600;988,600;EUR;25
04.06.2024;990,290;990,290;983,630;983,630;EUR;0
05.06.2024;985,960;991,810;985,960;991,810;EUR;0
06.06.2024;992,630;992,660;982,990;982,990;EUR;0
07.06.2024;977,120;979,650;976,890;979,140;EUR;0
10.06.2024;976,530;979,250;974,480;979,250;EUR;0
11.06.2024;981,080;981,080;976,280;976,280;EUR;0
12.06.2024;978,680;987,160;978,480;985,850;EUR;0
13.06.2024;983,550;983,550;971,560;971,580;EUR;0
14.06.2024;963,690;964,140;960,070;960,540;EUR;0
17.06.2024;965,350;966,060;963,810;965,500;EUR;0
18.06.2024;968,410;968,410;964,930;966,780;EUR;0
19.06.2024;965,960;969,750;965,960;969,710;EUR;0
20.06.2024;970,530;972,030;970,530;972,030;EUR;0
21.06.2024;969,520;969,520;965,750;966,090;EUR;0
24.06.2024;967,640;974,140;967,640;973,600;EUR;0
25.06.2024;970,380;971,670;968,030;968,030;EUR;0
26.06.2024;971,820;971,820;964,700;967,470;EUR;0
27.06.2024;970,130;974,600;966,960;973,990;EUR;0
28.06.2024;976,750;978,150;975,880;975,880;EUR;0
01.07.2024;978,530;981,570;978,530;980,950;EUR;0
02.07.2024;976,230;976,730;972,410;974,260;EUR;0
03.07.2024;974,250;982,190;973,990;977,440;EUR;20
04.07.2024;976,390;978,300;976,390;978,300;EUR;0
05.07.2024;979,490;982,380;976,390;976,410;EUR;0
08.07.2024;976,400;976,400;973,980;973,980;EUR;0
09.07.2024;968,910;970,840;961,860;961,860;EUR;0
10.07.2024;963,780;974,580;963,310;974,410;EUR;0
11.07.2024;975,500;980,270;974,820;980,270;EUR;0
12.07.2024;978,930;987,650;978,930;987,650;EUR;0
15.07.2024;983,650;983,650;978,930;978,930;EUR;0
16.07.2024;974,950;978,170;974,950;978,170;EUR;0
17.07.2024;976,810;976,810;968,570;972,350;EUR;0
18.07.2024;962,750;962,750;956,360;956,360;EUR;0
19.07.2024;957,000;957,040;955,330;955,330;EUR;0
22.07.2024;954,290;959,010;954,290;956,880;EUR;0
23.07.2024;954,730;959,680;954,730;957,820;EUR;0
24.07.2024;953,170;953,370;945,270;946,640;EUR;0
25.07.2024;938,260;943,890;934,570;943,890;EUR;0
26.07.2024;942,070;944,660;942,070;942,600;EUR;0
29.07.2024;941,330;941,330;935,460;935,460;EUR;0
30.07.2024;934,310;938,590;934,310;936,880;EUR;0
31.07.2024;939,900;940,980;938,030;939,640;EUR;0
01.08.2024;935,420;935,420;925,930;925,930;EUR;0
02.08.2024;917,920;917,920;904,080;904,140;EUR;0
05.08.2024;893,410;899,050;883,930;899,050;EUR;0
06.08.2024;899,740;903,200;896,820;898,900;EUR;0
07.08.2024;905,980;905,980;894,380;894,650;EUR;0
08.08.2024;890,720;911,820;889,450;911,820;EUR;0
09.08.2024;906,190;906,220;899,950;903,410;EUR;0
12.08.2024;905,690;906,950;904,650;905,970;EUR;0
13.08.2024;908,590;910,220;908,120;910,220;EUR;0
14.08.2024;913,280;917,820;912,040;915,990;EUR;0
15.08.2024;915,370;925,070;914,750;924,900;EUR;0
16.08.2024;925,380;927,730;925,080;927,730;EUR;0
19.08.2024;927,800;930,730;926,570;930,730;EUR;0
20.08.2024;932,440;932,440;927,950;928,140;EUR;0
21.08.2024;929,720;932,410;929,720;931,570;EUR;0
22.08.2024;933,320;940,220;933,320;937,470;EUR;0
23.08.2024;938,880;941,760;938,880;941,710;EUR;0
26.08.2024;940,850;942,450;940,850;942,450;EUR;0
27.08.2024;942,560;943,890;941,400;943,890;EUR;0
28.08.2024;942,680;947,410;942,680;946,250;EUR;0
29.08.2024;946,450;948,040;946,450;948,040;EUR;0
30.08.2024;948,630;950,560;948,630;950,560;EUR;0
02.09.2024;946,690;951,270;946,690;951,270;EUR;0
03.09.2024;951,020;952,760;946,340;946,340;EUR;0
04.09.2024;941,680;942,610;940,930;942,300;EUR;0
05.09.2024;942,800;942,800;936,010;937,350;EUR;0
06.09.2024;934,800;938,830;929,030;929,030;EUR;0
09.09.2024;932,800;933,280;931,030;931,520;EUR;0
